"date","armed","age","gender","race","city","state","signs_of_mental_illness","body_camera","percent_completed_hs","poverty_rate"
"2015-10-11","gun",34,"M","H","Chico","CA",False,False,"92","24.9"
"2017-03-17","knife",25,"M","B","Chico","CA",True,False,"92","24.9"
"2017-07-23","knife",34,"M","W","Chico","CA",False,True,"92","24.9"
"2015-05-02","gun",59,"M","W","Chino","CA",False,False,"77.7","11.6"
"2016-07-23","gun",31,"M","B","Chino","CA",False,False,"77.7","11.6"
"2017-07-27","knife",NULL,"M","H","Chowchilla","CA",False,False,"68.3","32.1"
"2016-06-14","undetermined",22,"M","H","Chula Vista","CA",False,False,"80.9","12.5"
"2015-06-22","gun",35,"M","H","Citrus Heights","CA",False,False,"89.9","15.4"
"2016-08-08","gun",56,"M","W","Citrus Heights","CA",False,False,"89.9","15.4"
"2016-05-19","knife",35,"M","H","Citrus Heights","CA",False,True,"89.9","15.4"
"2016-07-07","vehicle",33,"M","W","Clovis","CA",False,False,"88.9","13.8"
"2016-12-21","gun",24,"M","B","Coalinga","CA",False,False,"73","23.2"
"2016-12-09","undetermined",25,"M","H","Colton","CA",False,False,"70.1","22.1"
"2016-08-25","undetermined",32,"M","H","Compton","CA",False,False,"60.1","26.6"
"2016-08-25","gun",31,"M","B","Compton","CA",False,False,"60.1","26.6"
"2016-07-28","unarmed",27,"M","B","Compton","CA",False,False,"60.1","26.6"
"2016-11-10","knife",30,"M","W","Concord","CA",False,False,"87.1","13.3"
"2015-10-04","knife",21,"M","H","Corning","CA",False,False,"75.3","29.6"
"2017-03-24","gun",18,"M","W","Cottonwood","CA",False,False,"79","34.4"
"2015-03-06","gun",46,"M","H","Delano","CA",False,False,"55","30.3"
"2016-08-09","toy weapon",38,"M","H","Delhi","CA",False,False,"55.5","17.3"
"2017-05-15","knife",34,"M",NULL,"Del Mar","CA",False,False,"98.8","3.5"
"2017-03-19","knife",NULL,"M",NULL,"Desert Edge","CA",False,False,"79.6","25.3"
"2017-05-01","gun",20,"M","H","Dinuba","CA",False,False,"58.6","28.6"
"2017-02-16","gun",22,"M",NULL,"Douglas City","CA",False,False,"94.1","40.8"
"2015-10-09","gun",41,"M","H","Downey","CA",False,False,"76.1","11.4"
"2015-07-30","gun",25,"M","W","Dunsmuir","CA",False,False,"88.3","24.5"
"2015-07-13","gun",24,"M","W","Dunsmuir","CA",False,False,"88.3","24.5"
"2016-01-16","unarmed",25,"F","W","El Cajon","CA",False,False,"80.4","24.2"
"2016-09-27","unarmed",38,"M","B","El Cajon","CA",True,True,"80.4","24.2"
"2015-04-29","gun",27,"M","H","Elk Grove","CA",False,False,"90.5","10.4"
"2015-09-09","knife",59,"M","A","El Monte","CA",False,False,"57.8","24.9"
"2016-12-23","vehicle",NULL,"M",NULL,"El Monte","CA",False,False,"57.8","24.9"
"2015-03-02","gun",38,"F","B","Emeryville","CA",False,False,"96.9","11.9"
"2015-03-27","gun",56,"M","W","Encinitas","CA",True,False,"94.4","8.1"
